Serial#,Site#, ProberX#,ProberY#,HW Bin#,SW Bin#,OPEN_SHORT_TEST_VPP_D,OPEN_SHORT_TEST_GPIO0_D,OPEN_SHORT_TEST_GPIO1_D,OPEN_SHORT_TEST_GPIO2_D,OPEN_SHORT_TEST_GPIO3_D,OPEN_SHORT_TEST_GPO0_D,OPEN_SHORT_TEST_GPIO4_D,OPEN_SHORT_TEST_GPIO5_D,OPEN_SHORT_TEST_GPIO6_D,OPEN_SHORT_TEST_GPIO7_D,OPEN_SHORT_TEST_GPIO8_D,OPEN_SHORT_TEST_GPIO9_D,POWER_SHORT_VDD,CHECK_SITE_I_site,CHECK_SITE_code_check_sum,CKCKB_TEST_i2c_Test_w.ck_write,CKCKB_TEST_i2c_Test_r.ck_read,CKCKB_TEST_i2c_Test_w.ckb_write,CKCKB_TEST_i2c_Test_r.ckb_read,ICC_test_5P65_i2c_Test_w.icc_int_code_write,ICC_test_5P65_i2c_Test_r.read_allregister,ICC_test_5P65_VDD,vbgtrim_test_i2c_Test_w.vbg_int_code_cm02B,vbgtrim_test_vbg_voltage,vbgtrim_test_vbg_value,vbgtrim_test_vbg_diff,vbgtrim_test_vbg_value_final,acmptrim_test_i2c_Test_w.vbg_int_code_cm02B,acmptrim_test_acmp_Test.acmp_trim,acmptrim_test_acmp_trim_value,osctrim_test_i2c_Test_w.vbg_int_code_cm02B,osctrim_test_rcosc_freq,osctrim_test_rcosc_diff,osctrim_test_rcosc_trimvalue,osctrim_test_i2c_Test_r.read_allregister,osctrim_test_rcosc_trimvalue_final,osctrim_test_i2c_Test_w.0xF0_0x01_write,osctrim_test_i2c_Test_w.0xF3_0x80_write,osctrim_test_i2c_Test_w.0xF5_0x09_write,osctrim_test_lcosc_freq,osctrim_test_lcosc_diff,osctrim_test_lcosc_trimvalue,osctrim_test_lcosc_trimvalue_final,LUT_test_i2c_Test_w.vbg_int_code_cm02B,LUT_test_i2c_Test_r.read_allregister,LUT_test_lut_Test.lut,PR_test_i2c_Test_w.pr_int_code_write,PR_test_i2c_Test_r.read_allregister,PR_test_pr_test.pr,TRIM_PROG_i2c_progame_low.5AtoA5_trim_progame,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.5AtoA5_value_read,TRIM_LOCKED_i2c_progame.trim_locked,LS8C10001T_V_code_PROG_i2c_progame.LS8C10001T_V_code_program,LS8C10001T_V_code_PROG_i2c_Test_r.read_allregister,NVM_LOCKED_i2c_progame.nvm_locked,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.LS8C10001T_V_code_read,LS8C10001T_V_ATE_1230mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_615mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_288mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_PAT_LS8C10001T_V_ATE.LS8C10001T_V_ATE2,LS8C10001T_V_ATE_PAT_LS8C10001T_V_ATE.LS8C10001T_V_ATE3,
6, 0,13,0, 1,1,-486.799,-621.942,-624.062,-598.587,-592.717,-592.637,-596.368,-599.450,-599.456,-593.391,-595.298,-597.738,0.122,498.920,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.382,PASS,1230.826,29.000,0.826,29.000,PASS,PASS,0.000,PASS,2.535,35.497,43.000,PASS,42.000,PASS,PASS,PASS,2007.818,7.818,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
6, 1,13,1, 1,1,-489.437,-624.692,-624.261,-606.012,-601.594,-601.928,-602.009,-607.449,-602.115,-599.593,-599.685,-598.300,-0.041,501.451,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.404,PASS,1230.971,31.000,0.971,30.000,PASS,PASS,0.000,PASS,2.502,1.501,43.000,PASS,43.000,PASS,PASS,PASS,2004.192,4.192,50.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
7, 0,15,0, 1,1,-495.106,-624.479,-624.887,-604.578,-598.403,-603.509,-599.887,-606.417,-606.112,-602.714,-603.103,-608.126,0.236,499.044,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.377,PASS,1230.601,31.000,0.601,31.000,PASS,PASS,0.000,PASS,2.535,35.497,41.000,PASS,40.000,PASS,PASS,PASS,2002.835,2.835,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
7, 1,15,1, 1,1,-494.394,-626.267,-625.827,-605.235,-603.656,-602.462,-601.981,-605.440,-605.314,-602.552,-600.059,-597.814,0.158,501.355,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.371,PASS,1230.018,27.000,0.018,27.000,PASS,PASS,0.000,PASS,2.511,11.049,43.000,PASS,43.000,PASS,PASS,PASS,1991.806,8.194,50.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
8, 0,17,0, 1,1,-491.506,-623.778,-623.499,-600.726,-595.634,-596.027,-596.072,-601.180,-598.575,-598.522,-599.403,-604.189,-0.081,499.099,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.364,PASS,1230.262,35.000,0.262,35.000,PASS,PASS,0.000,PASS,2.523,23.214,40.000,PASS,40.000,PASS,PASS,PASS,1990.912,9.087,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
8, 1,17,1, 1,1,-495.488,-626.243,-625.106,-606.159,-605.604,-604.263,-603.478,-607.987,-604.814,-606.427,-604.402,-602.568,0.170,503.835,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.329,PASS,1231.347,25.000,1.347,24.000,PASS,PASS,0.000,PASS,2.485,14.911,41.000,PASS,41.000,PASS,PASS,PASS,1981.942,18.058,47.000,47.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
9, 0,19,0, 1,1,-491.659,-624.184,-623.513,-601.859,-597.736,-599.183,-594.697,-603.803,-601.886,-600.993,-598.874,-604.624,0.023,498.941,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.304,PASS,1230.488,29.000,0.488,29.000,PASS,PASS,0.000,PASS,2.483,17.378,41.000,PASS,42.000,PASS,PASS,PASS,1987.347,12.653,50.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
9, 1,19,1, 1,1,-494.566,-626.687,-626.773,-607.203,-604.195,-602.076,-602.185,-604.811,-604.876,-603.721,-602.633,-601.643,0.187,501.641,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.379,PASS,1228.701,27.000,1.299,28.000,PASS,PASS,0.000,PASS,2.516,16.103,41.000,PASS,40.000,PASS,PASS,PASS,2004.397,4.397,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
10, 0,21,0, 1,1,-493.402,-624.346,-624.291,-604.517,-599.490,-599.756,-598.650,-603.865,-605.588,-605.027,-601.129,-604.800,0.050,499.123,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.342,PASS,1230.626,21.000,0.626,21.000,PASS,PASS,0.000,PASS,2.487,13.427,41.000,PASS,41.000,PASS,PASS,PASS,1988.399,11.601,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
10, 1,21,1, 1,1,-492.250,-624.039,-623.869,-604.968,-600.400,-596.665,-600.922,-603.578,-599.826,-595.871,-598.712,-597.570,0.120,502.881,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.338,PASS,1229.228,37.000,0.772,38.000,PASS,PASS,0.000,PASS,2.477,22.790,39.000,PASS,39.000,PASS,PASS,PASS,2007.612,7.612,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
11, 0,23,0, 1,1,-486.765,-623.220,-623.346,-600.287,-596.854,-594.551,-596.989,-600.726,-602.320,-596.300,-596.538,-602.963,-0.109,498.941,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.328,PASS,1228.733,27.000,1.267,28.000,PASS,PASS,0.000,PASS,2.525,25.253,41.000,PASS,40.000,PASS,PASS,PASS,1987.630,12.370,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
11, 1,23,1, 1,1,-492.493,-624.969,-623.850,-605.134,-604.224,-602.921,-602.033,-607.235,-604.012,-601.139,-600.649,-597.775,0.209,503.454,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.408,PASS,1229.453,27.000,0.547,27.000,PASS,PASS,0.000,PASS,2.522,21.687,43.000,PASS,42.000,PASS,PASS,PASS,2011.167,11.167,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
12, 0,25,0, 1,1,-492.633,-625.538,-625.483,-605.131,-600.324,-599.880,-603.072,-605.103,-604.616,-605.943,-603.056,-604.275,0.072,498.999,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.361,PASS,1229.548,25.000,0.452,25.000,PASS,PASS,0.000,PASS,2.517,16.610,41.000,PASS,41.000,PASS,PASS,PASS,2011.540,11.540,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
12, 1,25,1, 1,1,-488.878,-623.461,-624.863,-601.717,-600.099,-598.121,-599.286,-600.887,-598.081,-600.257,-596.392,-593.541,0.157,502.762,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.356,PASS,1228.688,29.000,1.312,30.000,PASS,PASS,0.000,PASS,2.484,15.898,39.000,PASS,39.000,PASS,PASS,PASS,2004.068,4.068,51.000,51.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13, 0,27,0, 1,1,-495.460,-625.529,-625.569,-604.217,-604.108,-599.073,-601.639,-607.650,-606.398,-607.030,-604.310,-608.031,-0.105,499.035,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.334,PASS,1231.152,31.000,1.152,30.000,PASS,PASS,0.000,PASS,2.475,25.243,43.000,PASS,44.000,PASS,PASS,PASS,2015.276,15.276,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13, 1,27,1, 1,1,-492.412,-624.516,-624.896,-608.152,-603.756,-601.407,-602.133,-603.920,-602.997,-602.352,-599.604,-599.912,-0.169,503.048,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.371,PASS,1230.231,27.000,0.231,27.000,PASS,PASS,0.000,PASS,2.533,32.928,43.000,PASS,42.000,PASS,PASS,PASS,2006.539,6.539,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
14, 0,29,0, 1,1,-486.297,-623.244,-625.083,-604.088,-600.247,-596.132,-598.970,-603.043,-601.781,-602.557,-600.982,-605.029,0.075,499.023,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.390,PASS,1228.896,21.000,1.104,22.000,PASS,PASS,0.000,PASS,2.471,28.667,39.000,PASS,40.000,PASS,PASS,PASS,2021.576,21.576,49.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
14, 1,29,1, 1,1,-493.372,-625.580,-625.818,-607.804,-605.742,-602.228,-604.140,-606.811,-602.401,-602.605,-601.406,-601.161,-0.219,501.045,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.340,PASS,1230.845,31.000,0.845,31.000,PASS,PASS,1.000,PASS,2.523,22.704,41.000,PASS,40.000,PASS,PASS,PASS,2005.591,5.591,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15, 0,31,0, 1,1,-491.043,-622.944,-625.045,-600.726,-597.554,-598.104,-597.910,-602.986,-602.163,-602.156,-601.263,-604.900,-0.134,499.128,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.360,PASS,1228.771,23.000,1.229,24.000,PASS,PASS,0.000,PASS,2.464,36.460,39.000,PASS,40.000,PASS,PASS,PASS,1992.578,7.422,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15, 1,31,1, 1,1,-490.674,-624.683,-624.347,-603.866,-601.837,-600.886,-599.210,-604.554,-601.209,-602.299,-598.636,-602.234,-0.004,503.501,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.331,PASS,1229.253,27.000,0.747,27.000,PASS,PASS,0.000,PASS,2.480,20.333,43.000,PASS,44.000,PASS,PASS,PASS,1986.256,13.744,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
16, 0,33,0, 1,1,-495.321,-626.745,-627.687,-603.531,-597.507,-599.293,-599.844,-602.355,-605.217,-603.477,-602.183,-605.960,0.136,499.092,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.381,PASS,1229.134,33.000,0.866,34.000,PASS,PASS,0.000,PASS,2.510,9.536,41.000,PASS,41.000,PASS,PASS,PASS,1995.510,4.490,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
16, 1,33,1, 1,1,-491.424,-624.473,-626.042,-604.448,-603.904,-599.802,-603.425,-604.192,-601.624,-601.359,-600.261,-597.847,0.320,503.096,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.392,PASS,1229.290,17.000,0.710,17.000,PASS,PASS,4.000,PASS,2.512,11.553,41.000,PASS,41.000,PASS,PASS,PASS,2005.303,5.303,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
17, 0,35,0, 1,1,-489.596,-623.659,-624.286,-599.021,-592.879,-593.754,-592.027,-597.376,-597.117,-593.801,-597.086,-600.916,0.243,498.889,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.250,PASS,1230.300,27.000,0.300,27.000,PASS,PASS,12.000,PASS,2.493,6.980,39.000,PASS,39.000,PASS,PASS,PASS,1991.197,8.803,47.000,47.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
17, 1,35,1, 1,1,-487.823,-623.552,-624.982,-599.576,-598.514,-595.777,-594.466,-603.149,-600.746,-596.215,-597.850,-592.640,0.038,502.714,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.353,PASS,1229.616,26.000,0.384,26.000,PASS,PASS,0.000,PASS,2.496,4.492,39.000,PASS,39.000,PASS,PASS,PASS,2002.302,2.302,51.000,51.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
18, 0,37,0, 1,1,-493.149,-624.780,-624.563,-603.616,-602.078,-599.937,-601.873,-605.428,-604.488,-603.673,-604.624,-607.697,0.049,499.132,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.368,PASS,1229.347,29.000,0.653,29.000,PASS,PASS,0.000,PASS,2.521,20.669,41.000,PASS,40.000,PASS,PASS,PASS,1978.329,21.671,47.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
18, 1,37,1, 1,1,-491.854,-625.375,-623.521,-605.625,-603.350,-601.990,-599.363,-604.187,-603.974,-602.690,-601.008,-598.290,0.140,504.431,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.325,PASS,1228.738,35.000,1.262,36.000,PASS,PASS,0.000,PASS,2.477,23.281,41.000,PASS,42.000,PASS,PASS,PASS,2007.281,7.281,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
19, 0,39,0, 1,1,-493.306,-623.049,-625.159,-607.846,-600.819,-599.236,-601.582,-604.754,-601.796,-604.636,-603.604,-606.451,0.144,498.961,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.421,PASS,1228.809,29.000,1.191,30.000,PASS,PASS,0.000,PASS,2.497,2.996,43.000,PASS,43.000,PASS,PASS,PASS,2001.399,1.399,50.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
19, 1,39,1, 1,1,-489.241,-624.148,-622.613,-605.053,-599.779,-599.965,-599.687,-603.035,-600.403,-599.426,-597.356,-596.726,0.291,502.404,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.404,PASS,1229.667,25.000,0.333,25.000,PASS,PASS,0.000,PASS,2.512,12.058,40.000,PASS,40.000,PASS,PASS,PASS,2007.447,7.447,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
