Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,330,330,330,330,330,330,330,340,340,350,350,350,550,550,560,560,560,
4, 0,9,0, 1,1,-393.267,-467.511,-468.193,-468.494,-467.364,-468.385,-469.450,-467.322,-469.528,-467.985,-470.225,-469.374,0.122,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.622,PASS,1226.308,2.466,1925.893,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
4, 1,9,1, 1,1,-396.440,-466.924,-466.658,-469.369,-468.161,-467.982,-468.241,-469.218,-469.742,-469.573,-469.378,-467.047,0.139,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.604,PASS,1231.529,2.482,1949.732,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
5, 0,11,0, 1,1,-398.099,-468.412,-468.598,-470.175,-469.743,-469.731,-470.229,-471.355,-471.950,-471.013,-472.195,-471.469,0.190,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.968,PASS,1229.729,2.457,1905.637,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
5, 1,11,1, 1,1,-397.357,-471.114,-470.664,-471.723,-472.543,-471.902,-472.493,-473.342,-473.929,-472.685,-473.289,-470.165,0.318,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.639,PASS,1234.937,2.441,1918.854,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
6, 0,13,0, 1,1,-389.271,-461.992,-462.344,-461.650,-463.660,-462.749,-463.338,-464.269,-466.125,-464.427,-466.848,-465.694,0.404,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.647,PASS,1225.669,2.439,1918.553,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
6, 1,13,1, 1,1,-385.452,-458.281,-457.657,-457.247,-459.476,-457.391,-455.598,-457.728,-459.873,-458.394,-459.207,-457.197,0.568,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.709,PASS,1227.870,2.445,1919.458,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
7, 0,15,0, 1,1,-387.175,-457.122,-458.627,-456.564,-457.678,-456.885,-458.859,-458.344,-458.633,-459.218,-459.485,-459.190,0.020,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.666,PASS,1226.032,2.429,1914.153,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
7, 1,15,1, 1,1,-398.159,-475.872,-474.929,-473.306,-472.080,-473.507,-473.327,-474.656,-475.449,-475.205,-472.887,-472.439,0.163,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.632,PASS,1224.362,2.445,1912.653,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
8, 0,17,0, 1,1,-392.021,-465.197,-465.731,-466.346,-465.944,-468.012,-467.077,-467.428,-466.955,-466.644,-466.782,-466.057,0.184,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.598,PASS,1230.832,2.481,1941.206,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
8, 1,17,1, 1,1,-392.118,-463.125,-462.976,-464.512,-465.201,-464.740,-464.704,-464.476,-465.809,-466.112,-465.261,-463.747,-0.056,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.610,PASS,1231.554,2.462,1949.577,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
9, 0,19,0, 1,1,-389.829,-458.133,-459.228,-460.965,-461.558,-461.484,-460.678,-461.899,-463.437,-459.791,-461.536,-461.667,0.126,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.613,PASS,1235.995,2.477,1914.791,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
9, 1,19,1, 1,1,-398.857,-475.122,-474.007,-472.224,-474.009,-472.117,-474.381,-473.304,-474.420,-474.880,-475.600,-473.335,0.158,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.563,PASS,1234.912,2.439,1912.578,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
10, 0,21,0, 1,1,-392.016,-462.789,-463.570,-461.903,-462.755,-463.222,-464.317,-464.814,-463.885,-463.401,-464.445,-463.432,0.230,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.621,PASS,1236.696,2.511,1919.609,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
10, 1,21,1, 1,1,-392.381,-461.178,-461.114,-463.358,-465.162,-462.108,-461.624,-464.004,-464.279,-464.079,-464.796,-463.981,0.130,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.652,PASS,1225.940,2.418,1930.309,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
11, 0,23,0, 1,1,-390.975,-458.725,-459.696,-461.712,-462.526,-460.830,-462.813,-462.229,-462.727,-463.392,-463.892,-463.136,0.347,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.611,PASS,1234.040,2.515,1912.653,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
11, 1,23,1, 1,1,-401.540,-475.833,-475.096,-475.584,-476.067,-475.622,-476.068,-476.771,-479.054,-477.720,-478.116,-474.727,0.026,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.581,PASS,1228.121,2.447,1953.477,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
12, 0,25,0, 1,1,-391.095,-463.800,-463.775,-463.431,-465.195,-463.246,-464.536,-464.627,-463.780,-464.193,-464.473,-464.444,-0.073,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.529,PASS,1226.935,2.443,1916.369,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
12, 1,25,1, 1,1,-382.997,-458.033,-456.916,-455.622,-454.692,-453.819,-453.925,-456.714,-457.752,-456.752,-456.149,-453.931,0.150,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.677,PASS,1230.564,2.464,1885.256,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
13, 0,27,0, 1,1,-389.772,-459.211,-462.057,-459.788,-461.601,-459.583,-461.647,-460.752,-462.693,-460.458,-461.397,-459.958,0.158,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.679,PASS,1231.960,2.477,1932.830,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
13, 1,27,1, 1,1,-405.389,-479.441,-478.357,-479.593,-481.180,-480.569,-479.839,-481.161,-482.401,-481.969,-480.623,-480.372,0.027,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.588,PASS,1228.697,2.431,1939.471,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
14, 0,29,0, 1,1,-395.965,-468.026,-468.775,-470.841,-471.383,-471.909,-470.405,-471.288,-471.783,-469.878,-471.484,-470.676,0.411,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.594,PASS,1233.902,2.493,1925.399,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
14, 1,29,1, 1,1,-388.331,-459.574,-458.879,-458.844,-458.951,-459.253,-459.846,-459.847,-459.992,-459.277,-459.571,-457.388,0.306,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.638,PASS,1233.884,2.450,1911.867,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
15, 0,31,0, 1,1,-387.557,-458.758,-459.476,-460.184,-459.685,-459.918,-459.833,-459.161,-461.125,-459.457,-460.424,-459.094,0.252,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.614,PASS,1227.737,2.479,1932.218,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
15, 1,31,1, 5,56,-401.703,-478.702,-477.388,-476.681,-476.301,-475.068,-476.183,-478.256,-478.229,-477.105,-476.649,-474.088,0.189,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.622,PASS,1229.674,2.355,1900.075,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,FAIL,
16, 0,33,0, 2,20,-386.440,-454.995,-456.981,-429.839,-432.812,-429.817,-433.038,-430.152,-433.853,-432.963,-433.002,-431.912,99.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
